URLs,Price,#Ratings
https://www.amazon.co.uk/Betron-Earphones-Headphones-Definition-Microphone-gold-black/product-reviews/B00S2P0M1C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,8,"27,905 ratings"
https://www.amazon.co.uk/Panasonic-RP-HT225-Headphones-black/product-reviews/B00009V2P8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,13,598 ratings
https://www.amazon.co.uk/Earphones-Headphones-Isolating-Microphone-Compatible-1-Pack-White-Black/product-reviews/B09YPX9FZQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,99 ratings
https://www.amazon.co.uk/Headphones-Headband-Wireless-Speakers-Sleeping-Black/product-reviews/B0931YVWF4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,20,"8,370 ratings"
https://www.amazon.co.uk/Heaphones-Comfortable-Tangle-Free-Headphone-Smartphone/product-reviews/B07PR2D333/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,13,492 ratings
https://www.amazon.co.uk/LilGadgets-Untangled-Childrens-Bluetooth-Headphones-Pink/product-reviews/B00HX0RTN6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,45,"4,470 ratings"
https://www.amazon.co.uk/JKSWT-Microphone-Lightweight-Headphones-Compatible-White/product-reviews/B09DY2N94D/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,"1,121 ratings"
https://www.amazon.co.uk/XIAOWTEK-Bluetooth-Headphones-Cancelling-Waterproof-Black/product-reviews/B0BD4FFY2B/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,12,"1,996 ratings"
https://www.amazon.co.uk/iClever-Bluetooth-Headphones-Adjustable-Childrens-Green-Purple-Blue/product-reviews/B0872124F7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,35,"6,996 ratings"
https://www.amazon.co.uk/Betron-GLD100-Earphones-Headphones-Definition-Black-Remote/product-reviews/B074PQVNYN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,10,"2,611 ratings"
https://www.amazon.co.uk/Yatloml-Earphones-Headphones-Built-Microphone-Silver/product-reviews/B0BCNVX6YP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,6,342 ratings
https://www.amazon.co.uk/MuveAcoustics-Headphones-Performing-Microphone-Detachable/product-reviews/B01MQNB4A8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,12,"4,909 ratings"
https://www.amazon.co.uk/Noise-Cancelling-Headphones-Bluetooth-Wireless-BlacK/product-reviews/B07C8GM4H1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,49,"12,944 ratings"
